481	489	82.92
481	496	58.87
236	89	198.99
236	178	63.81
236	90	60.07
319	310	125.44
319	234	124.8
311	158	12.77
465	461	3.7
407	412	96.62
407	411	45.84
172	132	18.83
172	179	8.58
172	154	11.59
487	457	82.81
487	479	66.07
487	497	167.51
97	64	17.42
97	220	50.59
122	66	51.86
122	212	109.99
202	193	53.81
202	293	56.39
324	340	200.66
88	295	231.19
88	66	15.21
268	294	16.57
268	206	204.19
89	194	10.08
188	274	13.76
272	157	202.38
272	171	340.22
295	229	177.43
295	85	30.78
191	258	97.89
191	70	102.28
191	194	132.14
294	305	21.92
294	124	49.74
189	242	70.9
189	165	39.48
189	286	74.41
264	226	44.9
264	183	19.31
259	262	32.28
259	182	54.81
255	300	19.86
255	232	20.65
424	443	173.81
424	434	224.41
335	330	195.75
335	434	52.91
367	360	49.07
367	358	30.48
367	379	75.64
275	91	105.89
275	161	69.23
275	292	66.7
275	162	116.38
415	420	7.55
415	421	15.13
256	230	18.09
256	187	26.75
441	432	247.5
441	429	162.16
288	121	175.08
288	148	185.24
288	310	143.95
18	34	293.5
18	36	314.65
28	31	7.08
28	1	2.34
28	33	9.8
238	253	62.4
238	92	74.7
457	459	7.91
461	489	72.39
461	495	87.22
455	494	80.51
455	496	25.01
321	157	246.8
321	231	271.29
318	298	25.8
318	147	28.0
193	254	30.52
193	147	9.25
377	388	75.16
354	365	10.08
198	171	420.01
276	260	75.7
276	286	86.17
142	110	5.71
142	251	3.58
142	287	7.68
115	242	51.3
115	161	90.69
306	80	5.33
306	207	138.74
306	240	4.23
64	113	329.22
93	69	4.7
93	96	4.83
361	353	9.93
59	82	12.03
59	316	12.51
59	149	14.53
307	208	32.61
307	185	133.05
307	180	26.32
25	6	29.39
25	8	6.07
106	82	16.2
274	161	111.59
128	317	25.55
128	225	48.41
152	414	523.23
351	368	21.05
351	366	79.5
351	394	35.68
250	242	66.35
60	212	50.52
60	176	48.78
317	200	31.71
317	237	65.32
357	356	109.95
357	374	5.54
357	388	6.87
376	352	72.32
1	8	17.43
471	452	32.21
471	495	152.21
213	262	8.88
262	283	40.82
239	117	9.28
239	150	10.06
239	133	14.06
181	104	103.43
181	280	66.92
486	500	15.12
486	498	31.08
486	462	5.37
320	261	4.42
320	78	19.59
442	427	154.41
442	426	119.63
488	498	110.76
340	330	277.03
352	375	27.77
352	373	112.33
425	423	9.06
178	245	12.69
305	91	12.61
111	302	154.68
111	240	102.22
68	166	17.25
68	184	24.78
68	314	9.49
76	296	356.33
76	195	196.56
300	130	74.41
104	214	84.02
117	224	9.6
418	417	6.43
451	492	20.02
451	469	9.82
451	460	10.66
308	170	66.14
308	293	76.29
110	78	4.14
494	472	141.55
355	389	93.07
355	372	121.48
381	358	25.43
151	258	89.39
151	266	76.43
490	458	101.39
490	499	75.58
139	241	36.79
220	71	425.76
260	108	55.24
135	58	14.98
135	175	16.07
135	199	188.06
208	107	0.0
208	192	172.38
208	140	56.84
197	297	68.91
484	474	5.16
484	469	20.97
427	430	197.87
339	331	87.28
339	334	137.73
431	447	127.22
431	426	117.1
439	429	181.27
439	436	84.34
439	435	170.23
446	440	243.33
446	423	15.49
396	359	26.17
396	365	57.56
396	369	124.83
463	456	104.17
463	479	115.64
416	129	8.1
416	15	241.06
456	414	525.06
46	54	12.58
46	52	13.3
277	271	61.23
277	102	73.89
158	244	7.59
30	346	848.31
30	39	338.08
331	350	25.28
331	327	12.42
29	19	239.47
29	450	5.35
253	316	74.56
82	215	9.55
344	338	295.94
336	338	10.46
2	40	141.72
472	483	64.9
350	345	83.85
281	153	9.55
281	303	7.2
14	22	156.82
14	12	15.41
296	146	406.3
186	156	8.91
186	168	6.26
313	155	11.01
313	173	269.4
196	192	133.81
196	237	134.01
474	477	14.05
243	252	19.24
243	119	8.78
356	468	32.55
400	402	112.69
400	409	106.87
87	204	184.19
87	247	420.71
87	146	7.66
467	499	67.69
467	459	55.55
348	332	101.34
348	334	61.18
61	244	7.72
432	437	294.97
432	138	601.08
103	75	7.45
174	273	73.77
378	363	32.38
378	358	2.8
195	267	229.95
393	374	138.7
393	385	16.69
393	387	47.7
72	136	33.64
72	56	19.61
72	96	5.84
491	464	7.23
491	468	138.55
480	453	5.62
480	493	10.11
405	404	83.67
405	412	97.56
156	205	7.64
156	159	8.05
380	370	3.91
380	363	123.12
380	353	9.15
297	185	71.04
273	100	23.71
273	169	33.72
406	401	145.8
406	397	132.09
249	164	179.08
249	235	56.29
249	278	262.6
391	368	29.79
420	419	7.96
420	417	4.87
190	105	16.79
190	265	3.43
383	373	145.31
98	237	12.18
22	422	108.34
129	241	122.54
127	289	84.46
127	83	81.98
127	137	104.3
187	261	5.78
187	257	11.64
395	384	49.14
395	368	31.22
414	448	342.82
384	360	51.14
144	153	92.52
144	278	120.33
478	493	19.11
478	476	27.29
478	454	16.48
386	375	39.67
386	379	25.13
279	65	13.26
280	101	41.02
206	130	134.94
270	223	31.41
475	473	8.69
475	460	20.76
125	99	8.58
67	55	15.25
398	409	33.27
166	154	6.27
440	447	147.79
440	433	249.02
410	362	134.08
410	399	69.54
201	164	26.74
157	211	183.13
184	290	14.82
428	433	537.5
284	303	60.53
284	299	73.73
182	95	28.98
164	227	134.87
282	298	27.22
309	145	42.96
228	301	32.13
168	251	4.74
114	265	2.93
219	290	7.27
219	86	29.74
77	81	0.0
77	63	13.04
160	118	36.58
160	170	12.06
298	222	13.28
225	94	30.8
227	57	197.2
227	141	138.39
263	126	316.33
94	232	92.74
155	302	225.71
92	233	82.15
92	291	82.59
437	443	39.58
120	314	26.43
120	257	6.56
47	49	197.56
47	443	215.64
333	323	5.09
333	328	6.5
6	449	163.14
6	36	288.1
26	23	198.28
26	11	181.96
338	11	282.94
500	482	35.09
216	57	23.35
216	245	14.95
423	435	11.95
132	183	24.64
347	322	5.04
347	349	74.8
413	402	117.34
345	329	142.96
482	469	19.08
214	283	23.19
113	177	491.35
402	444	61.98
390	372	70.34
382	452	106.99
382	392	75.59
389	365	7.14
62	177	594.34
403	404	30.11
7	36	159.21
175	167	204.75
453	485	10.91
124	267	145.56
105	252	6.97
105	79	7.94
4	11	226.32
4	35	197.28
4	322	180.76
464	470	49.27
409	411	116.53
118	134	9.38
226	210	75.76
371	372	81.61
53	45	56.23
116	278	280.19
16	21	34.53
16	33	12.55
167	302	204.11
470	495	57.12
304	291	59.24
73	207	17.23
364	375	131.27
422	417	7.05
20	38	367.99
20	39	530.5
209	96	5.49
95	56	7.88
203	233	47.22
69	222	12.03
140	163	8.7
477	466	18.74
477	497	132.4
109	131	8.5
109	63	8.57
49	54	107.68
78	55	15.68
